Nombre Producto - Grupo,packaging_unitName,productId,name,variant_features_0_value,description,pricePerUnit,dimensions_weight,dimensions_weightUnit,dimensions_length,dimensions_lengthUnit,dimensions_width,dimensions_widthUnit,dimensions_height,dimensions_heightUnit,dimensions_volume,dimensions_volumeUnit,constraints_minUnit,constraints_stepSize,packaging_unit,packaging_packageName,packaging_packageUnit,packaging_amountPerPackage,packaging_boxName,packaging_boxUnit,packaging_amountPerBox,packaging_palletName,packaging_palletUnit,packaging_amountPerPallet
SMART COPPER,Balde 4 Galones,PCASMARTBO06,SMART COPPER BASE OSCURA,BASE OSCURA,"Pintura de imprimacion y terminacion con acabado satinado, especialmente formulada para ser aplicada sobre sustratos de Smart Panel, por su gran adherencia, durabilidad exterior, alta resistencia al agua y a la radiacion solar (UV). Con nanoparticulas de cobre para una mayor proyeccion con los hongos. Rendimiento 35 + 5 m2/Galon.",29990,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Display,DIS,1,Medio Pallet,MPA,18,Pallet,PAL,36
SMART COPPER,Balde 4 Galones,PCASPSNEGR006,SMART COPPER NEGRO,NEGRO,"Pintura de imprimacion y terminacion con acabado satinado, especialmente formulada para ser aplicada sobre sustratos de Smart Panel, por su gran adherencia, durabilidad exterior, alta resistencia al agua y a la radiacion solar (UV). Con nanoparticulas de cobre para una mayor proyeccion con los hongos. Rendimiento 35 + 5 m2/Galon.",42990,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Display,DIS,1,Medio Pallet,MPA,18,Pallet,PAL,36
SMART COPPER,Balde 4 Galones,PCASPSNLAN006,SMART COPPER BLANCO,BLANCO,"Pintura de imprimacion y terminacion con acabado satinado, especialmente formulada para ser aplicada sobre sustratos de Smart Panel, por su gran adherencia, durabilidad exterior, alta resistencia al agua y a la radiacion solar (UV). Con nanoparticulas de cobre para una mayor proyeccion con los hongos. Rendimiento 35 + 5 m2/Galon.",42990,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Display,DIS,1,Medio Pallet,MPA,18,Pallet,PAL,36
ESMALTE AL AGUA SEMIBRILLO,Galon,PANES930BL001,ESMALTE AL AGUA SEMIBRILLO BLANCO,BLANCO,"Esmalte agua Semi Brillo de imprimacion-terminacion, Rendimiento 35 ± 5 m2/galon/mano, Aplicacion Brocha, rodillo y pistola, Secado Tacto 2 – 3 horas, Repintado 3 – 6 horas. Especialmente formulada para ser aplicada sobre superficies de albañileria como estucos, ladrillos, hormigon. Tambien es recomendado para ser aplicado sobre tabiqueria, recubierta por plancha yeso-carton, plancha lisa y acanalada de fibrocemento.Uso interior y exterior.",13990,7,kg,16,cm,16,cm,22,cm,5632,cm³,4,4,GL,Display,DIS,4,Medio Pallet,MPA,72,Pallet,PAL,144
OLEO SEMIBRILLO BASE OSCURA,Galon,PCA904BASIN01,OLEO SEMI BRILLO BASE OSCURA,BASE OSCURA,"Pintura base solvente con resina alquidica, acabado semi brillante, rinde 45 ± 5 m² por galon por mano, secado al tacto en 2 a 3 horas y repintado desde 3 horas, buena resistencia a la humedad, gran adherencia y durabilidad, apto para interior y exterior, libre de metales pesados, estabilidad de 36 meses en envase cerrado, ideal para superficies de madera solida y MDF expuestas a uso frecuente o condiciones exigentes.",14193,7,kg,16,cm,16,cm,22,cm,5632,cm³,4,4,GL,Display,DIS,4,Medio Pallet,MPA,72,Pallet,PAL,144
ZINC ACRYL,Galon,PCA907BASE001,ZINC ACRYL BASE INCOLORA,BASE INCOLORA,"Anticorrosivo base agua o Pintura para Zinc y Galvanizados con acabado satinado, rinde 30 m² por galon por mano, secado al tacto en 2 a 3 horas y repintado desde 3 horas, excelente poder cubridor y resistencia a la intemperie, se aplica con brocha, rodillo o pistola, diluible con agua, libre de metales pesados, estabilidad de 36 meses en envase cerrado, ideal para techos nuevos de zinc, galvanizado, zincalum y fibrocemento, protegiendolos de oxidacion, rayos UV y contaminacion ambiental.",12783,7,kg,16,cm,16,cm,22,cm,5632,cm³,4,4,GL,Display,DIS,4,Medio Pallet,MPA,72,Pallet,PAL,144
ESMALTE SINTETICO,Galon,PCA922BOSC001,ESMALTE SINTETICO BASE OSCURA,BASE OSCURA,"Esmalte Sintetico Brillante, pintura base solvente con resina alquidica, acabado brillante de alta resistencia, rinde 45 ± 5 m² por galon por mano, secado al tacto en 2 a 3 horas y repintado desde 3 horas, excelente adherencia, flexibilidad y durabilidad, resistente a la humedad y radiacion UV, apto para interior y exterior, libre de metales pesados, estabilidad de 36 meses en envase cerrado, ideal para terminaciones sobre superficies de madera o metal previamente imprimadas.",16255,7,kg,16,cm,16,cm,22,cm,5632,cm³,4,4,GL,Display,DIS,4,Medio Pallet,MPA,72,Pallet,PAL,144
HIDRO COPPER,Galon,PCA925BLAN001,HIDRO COPPER BLANCO,BLANCO,"Pintura base agua de alta calidad formulada con resinas acrilicas en emulsion acuosa, aditivos hidro-repelentes, fungicidas y nano-particulas de cobre con accion microbicida. Ofrece un rendimiento de 35 ± 5 m² por galon con una sola mano de aplicacion. Se seca al tacto en 2 a 3 horas a 20°C y 60% de humedad relativa, y puede ser repintada en 3 a 6 horas. Ideal para uso interior y exterior, especialmente en superficies de fibrocemento (siding y tinglado), estucos, ladrillos, hormigon y pisos de cemento.",14879,7,kg,16,cm,16,cm,22,cm,5632,cm³,4,4,GL,Display,DIS,4,Medio Pallet,MPA,72,Pallet,PAL,144
OLEO BRILLANTE,Galon,PCA926BOSC001,OLEO BRILLANTE BASE OSCURA,BASE OSCURA,"Pintura base solvente con resina alquidica, acabado brillante de alta resistencia, rinde 45 ± 5 m² por galon por mano, secado al tacto en 2 a 4 horas y repintado desde 4 horas, excelente adherencia, durabilidad y resistencia a la humedad y radiacion UV, apto para interior y exterior, libre de metales pesados, estabilidad de 36 meses en envase cerrado, ideal para superficies de madera solida y derivados como MDF.",15610,7,kg,16,cm,16,cm,22,cm,5632,cm³,4,4,GL,Display,DIS,4,Medio Pallet,MPA,72,Pallet,PAL,144
ESMALTE AL AGUA CLINIC COPPER,Galon,PCA941CLIBH01,ESMALTE AL AGUA CLINIC COPPER BEIGE HOSPITALARIO,BEIGE HOSPITALARIO,"Esmalte al agua hospitalario especialmente formulado para Clinicas y Hospitales, desarrollada para cumplir con las mas altas exigencias sanitarias, contiene Nanoparticulas de Cobre, un poderoso agente Antimicrobiano que reduce drasticamente la formacion de colonias de agentes infecciosos sobre las superficies pintadas, cumpliendo con las normas JIZ  2801 y Norma Europea 13697 para desinfeccion superficial. Excelente poder cubriente, terminacion suave y satinada, rendimiento  30+ 5 m2/galon/mano, secado tacto  2 a 3 horas, repintado a las 4 horas minimo. ¿En que lugares se puede usar? HABITACIONES, BOX DE ATENCION, PASILLOS, SALAS DE ESPERA, DENTISTAS, CENTROS DE SALUD y SIMILARES.",17990,7,kg,16,cm,16,cm,22,cm,5632,cm³,4,4,GL,Display,DIS,4,Medio Pallet,MPA,72,Pallet,PAL,144
ESMALTE AL AGUA CLINIC COPPER,Galon,PCA941CLIBL01,ESMALTE AL AGUA CLINIC COPPER BLANCO HOSPITALARIO,BLANCO HOSPITALARIO,"Esmalte al agua hospitalario especialmente formulado para Clinicas y Hospitales, desarrollada para cumplir con las mas altas exigencias sanitarias, contiene Nanoparticulas de Cobre, un poderoso agente Antimicrobiano que reduce drasticamente la formacion de colonias de agentes infecciosos sobre las superficies pintadas, cumpliendo con las normas JIZ  2801 y Norma Europea 13697 para desinfeccion superficial. Excelente poder cubriente, terminacion suave y satinada, rendimiento  30+ 5 m2/galon/mano, secado tacto  2 a 3 horas, repintado a las 4 horas minimo. ¿En que lugares se puede usar? HABITACIONES, BOX DE ATENCION, PASILLOS, SALAS DE ESPERA, DENTISTAS, CENTROS DE SALUD y SIMILARES.",17990,7,kg,16,cm,16,cm,22,cm,5632,cm³,4,4,GL,Display,DIS,4,Medio Pallet,MPA,72,Pallet,PAL,144
ESMALTE AL AGUA CLINIC COPPER,Galon,PCA941CLICC01,ESMALTE AL AGUA CLINIC COPPER CELESTE CLINICO,CELESTE CLINICO,"Esmalte al agua hospitalario especialmente formulado para Clinicas y Hospitales, desarrollada para cumplir con las mas altas exigencias sanitarias, contiene Nanoparticulas de Cobre, un poderoso agente Antimicrobiano que reduce drasticamente la formacion de colonias de agentes infecciosos sobre las superficies pintadas, cumpliendo con las normas JIZ  2801 y Norma Europea 13697 para desinfeccion superficial. Excelente poder cubriente, terminacion suave y satinada, rendimiento  30+ 5 m2/galon/mano, secado tacto  2 a 3 horas, repintado a las 4 horas minimo. ¿En que lugares se puede usar? HABITACIONES, BOX DE ATENCION, PASILLOS, SALAS DE ESPERA, DENTISTAS, CENTROS DE SALUD y SIMILARES.",17990,7,kg,16,cm,16,cm,22,cm,5632,cm³,4,4,GL,Display,DIS,4,Medio Pallet,MPA,72,Pallet,PAL,144
ESMALTE AL AGUA CLINIC COPPER,Galon,PCA941CLIGB01,ESMALTE AL AGUA CLINIC COPPER GRIS BOX,GRIS BOX,"Esmalte al agua hospitalario especialmente formulado para Clinicas y Hospitales, desarrollada para cumplir con las mas altas exigencias sanitarias, contiene Nanoparticulas de Cobre, un poderoso agente Antimicrobiano que reduce drasticamente la formacion de colonias de agentes infecciosos sobre las superficies pintadas, cumpliendo con las normas JIZ  2801 y Norma Europea 13697 para desinfeccion superficial. Excelente poder cubriente, terminacion suave y satinada, rendimiento  30+ 5 m2/galon/mano, secado tacto  2 a 3 horas, repintado a las 4 horas minimo. ¿En que lugares se puede usar? HABITACIONES, BOX DE ATENCION, PASILLOS, SALAS DE ESPERA, DENTISTAS, CENTROS DE SALUD y SIMILARES.",17990,7,kg,16,cm,16,cm,22,cm,5632,cm³,4,4,GL,Display,DIS,4,Medio Pallet,MPA,72,Pallet,PAL,144
ESMALTE AL AGUA CLINIC COPPER,Galon,PCA941CLIRM01,ESMALTE AL AGUA CLINIC COPPER ROSA MATERNO,ROSA MATERNO,"Esmalte al agua hospitalario especialmente formulado para Clinicas y Hospitales, desarrollada para cumplir con las mas altas exigencias sanitarias, contiene Nanoparticulas de Cobre, un poderoso agente Antimicrobiano que reduce drasticamente la formacion de colonias de agentes infecciosos sobre las superficies pintadas, cumpliendo con las normas JIZ  2801 y Norma Europea 13697 para desinfeccion superficial. Excelente poder cubriente, terminacion suave y satinada, rendimiento  30+ 5 m2/galon/mano, secado tacto  2 a 3 horas, repintado a las 4 horas minimo. ¿En que lugares se puede usar? HABITACIONES, BOX DE ATENCION, PASILLOS, SALAS DE ESPERA, DENTISTAS, CENTROS DE SALUD y SIMILARES.",17990,7,kg,16,cm,16,cm,22,cm,5632,cm³,4,4,GL,Display,DIS,4,Medio Pallet,MPA,72,Pallet,PAL,144
ESMALTE AL AGUA CLINIC COPPER,Galon,PCA941CLIVU01,ESMALTE AL AGUA CLINIC COPPER VERDE URGENCIA,VERDE URGENCIA,"Esmalte al agua hospitalario especialmente formulado para Clinicas y Hospitales, desarrollada para cumplir con las mas altas exigencias sanitarias, contiene Nanoparticulas de Cobre, un poderoso agente Antimicrobiano que reduce drasticamente la formacion de colonias de agentes infecciosos sobre las superficies pintadas, cumpliendo con las normas JIZ  2801 y Norma Europea 13697 para desinfeccion superficial. Excelente poder cubriente, terminacion suave y satinada, rendimiento  30+ 5 m2/galon/mano, secado tacto  2 a 3 horas, repintado a las 4 horas minimo. ¿En que lugares se puede usar? HABITACIONES, BOX DE ATENCION, PASILLOS, SALAS DE ESPERA, DENTISTAS, CENTROS DE SALUD y SIMILARES.",17990,7,kg,16,cm,16,cm,22,cm,5632,cm³,4,4,GL,Display,DIS,4,Medio Pallet,MPA,72,Pallet,PAL,144
FIBRO COPPER,Galon,PCAPLUS921001,FIBRO COPPER INCOLORO,INCOLORO,"Pintura base agua para Siding y Fibrocemento de acabado semi brillo, con nano particulas de cobre con funcion antimicrobiana, sirve como imprimante y terminacion, rinde 35 ± 5 m² por galon, secado al tacto en 2 a 3 horas y repintado desde 3 horas, alta resistencia al agua, microorganismos y radiacion UV, se aplica con brocha, rodillo o pistola, diluible con agua, libre de metales pesados, estabilidad de 36 meses en envase cerrado, ideal para fibrocemento, estucos, ladrillos, hormigon y pisos de cemento con funcion “mata polvo” en el incoloro.",8426,7,kg,16,cm,16,cm,22,cm,5632,cm³,4,4,GL,Display,DIS,4,Medio Pallet,MPA,72,Pallet,PAL,144
SMART COPPER,Galon,PCASMARTBO001,SMART COPPER BASE OSCURA,BASE OSCURA,"Pintura de imprimacion y terminacion con acabado satinado, especialmente formulada para ser aplicada sobre sustratos de Smart Panel, por su gran adherencia, durabilidad exterior, alta resistencia al agua y a la radiacion solar (UV). Con nanoparticulas de cobre para una mayor proyeccion con los hongos. Rendimiento 35 + 5 m2/Galon.",8990,7,kg,16,cm,16,cm,22,cm,5632,cm³,4,4,GL,Display,DIS,4,Medio Pallet,MPA,72,Pallet,PAL,144
SMART COPPER,Galon,PCASPSBLAN001,SMART COPPER BLANCO,BLANCO,"Pintura de imprimacion y terminacion con acabado satinado, especialmente formulada para ser aplicada sobre sustratos de Smart Panel, por su gran adherencia, durabilidad exterior, alta resistencia al agua y a la radiacion solar (UV). Con nanoparticulas de cobre para una mayor proyeccion con los hongos. Rendimiento 35 + 5 m2/Galon.",12990,7,kg,16,cm,16,cm,22,cm,5632,cm³,4,4,GL,Display,DIS,4,Medio Pallet,MPA,72,Pallet,PAL,144
ESMALTE SINTETICO,Balde 4 Galones,PCA922BLAN056,ESMALTE SINTETICO BLANCO,BLANCO,"Esmalte Sintetico Brillante, pintura base solvente con resina alquidica, acabado brillante de alta resistencia, rinde 45 ± 5 m² por galon por mano, secado al tacto en 2 a 3 horas y repintado desde 3 horas, excelente adherencia, flexibilidad y durabilidad, resistente a la humedad y radiacion UV, apto para interior y exterior, libre de metales pesados, estabilidad de 36 meses en envase cerrado, ideal para terminaciones sobre superficies de madera o metal previamente imprimadas.",84390,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Display,DIS,1,Medio Pallet,MPA,18,Pallet,PAL,36
ESMALTE SINTETICO,Balde 4 Galones,PCA922NEGRO06,ESMALTE SINTETICO NEGRO,NEGRO,"Esmalte Sintetico Brillante, pintura base solvente con resina alquidica, acabado brillante de alta resistencia, rinde 45 ± 5 m² por galon por mano, secado al tacto en 2 a 3 horas y repintado desde 3 horas, excelente adherencia, flexibilidad y durabilidad, resistente a la humedad y radiacion UV, apto para interior y exterior, libre de metales pesados, estabilidad de 36 meses en envase cerrado, ideal para terminaciones sobre superficies de madera o metal previamente imprimadas.",84390,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Display,DIS,1,Medio Pallet,MPA,18,Pallet,PAL,36
Esmalte Anticorrosivo Doble Acción,Balde 4 Galones,PCA108BLAN006,ESMALTE ANTICORROSIVO DOBLE ACCION BLANCO,BLANCO,"Anticorrosivo Doble Accion, imprimacion y terminacion en uno, base solvente con resina alquidica, acabado brillante y liso, rinde 45 ± 5 m² por galon por mano, secado al tacto en 3 a 4 horas y repintado desde 4 horas, alta resistencia a la humedad y a la radiacion UV, excelente adherencia y durabilidad, apto para interior y exterior, libre de metales pesados, estabilidad de 36 meses en envase cerrado, ideal para superficies de acero expuestas a condiciones moderadamente agresivas.",78370,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Display,DIS,1,Medio Pallet,MPA,18,Pallet,PAL,36
Esmalte Anticorrosivo Doble Acción,Balde 4 Galones,PCA108GRIS006,ESMALTE ANTICORROSIVO DOBLE ACCION GRIS,GRIS,"Anticorrosivo Doble Accion, imprimacion y terminacion en uno, base solvente con resina alquidica, acabado brillante y liso, rinde 45 ± 5 m² por galon por mano, secado al tacto en 3 a 4 horas y repintado desde 4 horas, alta resistencia a la humedad y a la radiacion UV, excelente adherencia y durabilidad, apto para interior y exterior, libre de metales pesados, estabilidad de 36 meses en envase cerrado, ideal para superficies de acero expuestas a condiciones moderadamente agresivas.",78370,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Display,DIS,1,Medio Pallet,MPA,18,Pallet,PAL,36
Esmalte Anticorrosivo Doble Acción,Balde 4 Galones,PCA108NEGR006,ESMALTE ANTICORROSIVO DOBLE ACCION NEGRO,NEGRO,"Anticorrosivo Doble Accion, imprimacion y terminacion en uno, base solvente con resina alquidica, acabado brillante y liso, rinde 45 ± 5 m² por galon por mano, secado al tacto en 3 a 4 horas y repintado desde 4 horas, alta resistencia a la humedad y a la radiacion UV, excelente adherencia y durabilidad, apto para interior y exterior, libre de metales pesados, estabilidad de 36 meses en envase cerrado, ideal para superficies de acero expuestas a condiciones moderadamente agresivas.",78370,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Display,DIS,1,Medio Pallet,MPA,18,Pallet,PAL,36
STAIN ,Balde 4 Galones,PCA113POLNAT6,STAIN  NATURAL,NATURAL,"Protector impregnante para maderas, acabado mate, con triple proteccion solar, rinde 40 m² por galon por mano, secado al tacto en 4 a 6 horas y repintado desde 12 horas, excelente resistencia a la humedad, durabilidad exterior, contiene fungicidas y anti-termitas, libre de metales pesados, estabilidad de 36 meses en envase cerrado.",77610,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Display,DIS,1,Medio Pallet,MPA,18,Pallet,PAL,36
BARNIZ MARINO,Balde 4 Galones,PCA106BANAT06,BARNIZ MARINO NATURAL,NATURAL,"Barniz Marino de alto desempeño, con terminacion brillante, lisa y suave, rinde hasta 50 m² por galon con una mano, seca al tacto en 4 a 6 horas, flexible y resistente, apto para interior y exterior, libre de metales pesados, con 36 meses de estabilidad en envase cerrado, ideal para proteger y embellecer puertas, ventanas, muebles y estructuras de madera.",75990,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Display,DIS,1,Medio Pallet,MPA,18,Pallet,PAL,36
OLEO SEMIBRILLO,Balde 4 Galones,PCA904BLAN056,OLEO SEMI BRILLO BLANCO,BLANCO,"Pintura base solvente con resina alquidica, acabado semi brillante, rinde 45 ± 5 m² por galon por mano, secado al tacto en 2 a 3 horas y repintado desde 3 horas, buena resistencia a la humedad, gran adherencia y durabilidad, apto para interior y exterior, libre de metales pesados, estabilidad de 36 meses en envase cerrado, ideal para superficies de madera solida y MDF expuestas a uso frecuente o condiciones exigentes.",75850,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Display,DIS,1,Medio Pallet,MPA,18,Pallet,PAL,36
OLEO BRILLANTE,Balde 4 Galones,PCA926BLAN056,OLEO BRILLANTE BLANCO,BLANCO,"Pintura base solvente con resina alquidica, acabado brillante de alta resistencia, rinde 45 ± 5 m² por galon por mano, secado al tacto en 2 a 4 horas y repintado desde 4 horas, excelente adherencia, durabilidad y resistencia a la humedad y radiacion UV, apto para interior y exterior, libre de metales pesados, estabilidad de 36 meses en envase cerrado, ideal para superficies de madera solida y derivados como MDF.",75850,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Display,DIS,1,Medio Pallet,MPA,18,Pallet,PAL,36
OLEO OPACO,Balde 4 Galones,PCA910BLAN056,OLEO OPACO BLANCO,BLANCO,"Pintura base solvente con resina alquidica, acabado mate para uso exclusivo en interiores, rinde 45 ± 5 m² por galon por mano, secado al tacto en 2 a 4 horas y repintado desde 4 horas, buena resistencia a la humedad, excelente adherencia y poder cubriente, libre de metales pesados, estabilidad de 36 meses en envase cerrado, ideal para superficies de yeso, madera, MDF y cemento previamente sellado o imprimado.",74890,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Display,DIS,1,Medio Pallet,MPA,18,Pallet,PAL,36
ANTICORROSIVO ESTRUCTURAL,Balde 4 Galones,PCA106BLANCO6,ANTICORROSIVO ESTRUCTURAL BLANCO,BLANCO,"Anticorrosivo de acabado Opaco, Rendimiento 35 ± 5 m2/Galon/Mano, segun absorcion del sustrato. Dilucion maximo un 20% con  aguarras mineral, seca al tacto entre 1 a 3 horas. diseñado para proteger todo tipo de estructuras metalicas como rejas, muebles, defensas y perfiles de acero expuestos al clima. Se aplica facilmente con brocha, rodillo o pistola y ofrece una excelente adherencia, evitando la aparicion de oxido desde la primera mano. Es ideal tanto para ambientes urbanos como costeros y se puede usar como base antes de aplicar esmaltes sinteticos u oleos de terminacion.",66320,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Display,DIS,1,Medio Pallet,MPA,18,Pallet,PAL,36
ANTICORROSIVO ESTRUCTURAL,Balde 4 Galones,PCA106GRIS006,ANTICORROSIVO ESTRUCTURAL GRIS,GRIS,"Anticorrosivo de acabado Opaco, Rendimiento 35 ± 5 m2/Galon/Mano, segun absorcion del sustrato. Dilucion maximo un 20% con  aguarras mineral, seca al tacto entre 1 a 3 horas. diseñado para proteger todo tipo de estructuras metalicas como rejas, muebles, defensas y perfiles de acero expuestos al clima. Se aplica facilmente con brocha, rodillo o pistola y ofrece una excelente adherencia, evitando la aparicion de oxido desde la primera mano. Es ideal tanto para ambientes urbanos como costeros y se puede usar como base antes de aplicar esmaltes sinteticos u oleos de terminacion.",66320,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Display,DIS,1,Medio Pallet,MPA,18,Pallet,PAL,36
ANTICORROSIVO ESTRUCTURAL,Balde 4 Galones,PCA106NEGRO06,ANTICORROSIVO ESTRUCTURAL NEGRO,NEGRO,"Anticorrosivo de acabado Opaco, Rendimiento 35 ± 5 m2/Galon/Mano, segun absorcion del sustrato. Dilucion maximo un 20% con  aguarras mineral, seca al tacto entre 1 a 3 horas. diseñado para proteger todo tipo de estructuras metalicas como rejas, muebles, defensas y perfiles de acero expuestos al clima. Se aplica facilmente con brocha, rodillo o pistola y ofrece una excelente adherencia, evitando la aparicion de oxido desde la primera mano. Es ideal tanto para ambientes urbanos como costeros y se puede usar como base antes de aplicar esmaltes sinteticos u oleos de terminacion.",66320,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Display,DIS,1,Medio Pallet,MPA,18,Pallet,PAL,36
ANTICORROSIVO ESTRUCTURAL,Balde 4 Galones,PCA106OCRE055,ANTICORROSIVO ESTRUCTURAL OCRE,OCRE,"Anticorrosivo de acabado Opaco, Rendimiento 35 ± 5 m2/Galon/Mano, segun absorcion del sustrato. Dilucion maximo un 20% con  aguarras mineral, seca al tacto entre 1 a 3 horas. diseñado para proteger todo tipo de estructuras metalicas como rejas, muebles, defensas y perfiles de acero expuestos al clima. Se aplica facilmente con brocha, rodillo o pistola y ofrece una excelente adherencia, evitando la aparicion de oxido desde la primera mano. Es ideal tanto para ambientes urbanos como costeros y se puede usar como base antes de aplicar esmaltes sinteticos u oleos de terminacion.",66320,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Display,DIS,1,Medio Pallet,MPA,18,Pallet,PAL,36
ANTICORROSIVO ESTRUCTURAL,Balde 4 Galones,PCA106ROJO006,ANTICORROSIVO ESTRUCTURAL ROJO,ROJO,"Anticorrosivo de acabado Opaco, Rendimiento 35 ± 5 m2/Galon/Mano, segun absorcion del sustrato. Dilucion maximo un 20% con  aguarras mineral, seca al tacto entre 1 a 3 horas. diseñado para proteger todo tipo de estructuras metalicas como rejas, muebles, defensas y perfiles de acero expuestos al clima. Se aplica facilmente con brocha, rodillo o pistola y ofrece una excelente adherencia, evitando la aparicion de oxido desde la primera mano. Es ideal tanto para ambientes urbanos como costeros y se puede usar como base antes de aplicar esmaltes sinteticos u oleos de terminacion.",66320,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Display,DIS,1,Medio Pallet,MPA,18,Pallet,PAL,36
ZINC ACRYL,Balde 4 Galones,PCA907BLAN056,ZINC ACRYL BLANCO,BLANCO,"Anticorrosivo base agua o Pintura para Zinc y Galvanizados con acabado satinado, rinde 30 m² por galon por mano, secado al tacto en 2 a 3 horas y repintado desde 3 horas, excelente poder cubridor y resistencia a la intemperie, se aplica con brocha, rodillo o pistola, diluible con agua, libre de metales pesados, estabilidad de 36 meses en envase cerrado, ideal para techos nuevos de zinc, galvanizado, zincalum y fibrocemento, protegiendolos de oxidacion, rayos UV y contaminacion ambiental.",60290,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Display,DIS,1,Medio Pallet,MPA,18,Pallet,PAL,36
ZINC ACRYL,Balde 4 Galones,PCA907GRIS056,ZINC ACRYL GRIS,GRIS,"Anticorrosivo base agua o Pintura para Zinc y Galvanizados con acabado satinado, rinde 30 m² por galon por mano, secado al tacto en 2 a 3 horas y repintado desde 3 horas, excelente poder cubridor y resistencia a la intemperie, se aplica con brocha, rodillo o pistola, diluible con agua, libre de metales pesados, estabilidad de 36 meses en envase cerrado, ideal para techos nuevos de zinc, galvanizado, zincalum y fibrocemento, protegiendolos de oxidacion, rayos UV y contaminacion ambiental.",60290,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Display,DIS,1,Medio Pallet,MPA,18,Pallet,PAL,36
ZINC ACRYL,Balde 4 Galones,PCA907NEGRO06,ZINC ACRYL NEGRO,NEGRO,"Anticorrosivo base agua o Pintura para Zinc y Galvanizados con acabado satinado, rinde 30 m² por galon por mano, secado al tacto en 2 a 3 horas y repintado desde 3 horas, excelente poder cubridor y resistencia a la intemperie, se aplica con brocha, rodillo o pistola, diluible con agua, libre de metales pesados, estabilidad de 36 meses en envase cerrado, ideal para techos nuevos de zinc, galvanizado, zincalum y fibrocemento, protegiendolos de oxidacion, rayos UV y contaminacion ambiental.",60290,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Display,DIS,1,Medio Pallet,MPA,18,Pallet,PAL,36
ZINC ACRYL,Balde 4 Galones,PCA907ROJO056,ZINC ACRYL ROJO,ROJO,"Anticorrosivo base agua o Pintura para Zinc y Galvanizados con acabado satinado, rinde 30 m² por galon por mano, secado al tacto en 2 a 3 horas y repintado desde 3 horas, excelente poder cubridor y resistencia a la intemperie, se aplica con brocha, rodillo o pistola, diluible con agua, libre de metales pesados, estabilidad de 36 meses en envase cerrado, ideal para techos nuevos de zinc, galvanizado, zincalum y fibrocemento, protegiendolos de oxidacion, rayos UV y contaminacion ambiental.",60290,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Display,DIS,1,Medio Pallet,MPA,18,Pallet,PAL,36
ZINC ACRYL,Balde 4 Galones,PCA907VERD056,ZINC ACRYL VERDE,VERDE,"Anticorrosivo base agua o Pintura para Zinc y Galvanizados con acabado satinado, rinde 30 m² por galon por mano, secado al tacto en 2 a 3 horas y repintado desde 3 horas, excelente poder cubridor y resistencia a la intemperie, se aplica con brocha, rodillo o pistola, diluible con agua, libre de metales pesados, estabilidad de 36 meses en envase cerrado, ideal para techos nuevos de zinc, galvanizado, zincalum y fibrocemento, protegiendolos de oxidacion, rayos UV y contaminacion ambiental.",60290,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Display,DIS,1,Medio Pallet,MPA,18,Pallet,PAL,36
ESMALTE AL AGUA COPPER,Balde 4 Galones,PCA960ECOPBL6,ESMALTE AL AGUA COPPER BLANCO,BLANCO,"Esmalte al Agua Satinado con cobre antimicrobiano, rendimiento de 30 a 35 m² por galon con una mano, seca al tacto en 2 a 3 horas, repintado desde 4 horas, alta resistencia al lavado y desinfectantes, ideal para paredes y cielos interiores, contiene agente bacteriostatico, libre de metales pesados, estabilidad de 36 meses en envase cerrado, recomendado para espacios que requieren higiene y proteccion prolongada.",58390,25,kg,31,cm,31,cm,30,cm,29.01,cm³,1,1,BD4,Display,DIS,1,Medio Pallet,MPA,18,Pallet,PAL,36
